id,project_code,price_quot_number,po_so_number,asn_dn,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,late_deliveries,product_group,sub_classification,vendor,item_description,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_in_kgs,freight_cost_in_usd,line_item_insurance_in_usd
61696,108-VN-T30,FPQ-5317,SCMS-69530,ASN-7487,Vietnam,"PMO - US","Direct Drop",EXW,Air,2010-03-22,2010-03-29,2010-08-03,2010-08-03,2010-08-03,0,ARV,Adult,"STRIDES ARCOLAB LIMITED","Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,10935,28431.00,2.60,0.04,"Strides, Bangalore, India.",No,NULL,NULL,61.30
61697,116-ZA-T30,FPQ-14942,SCMS-259076,ASN-32524,"South Africa","PMO - US","Direct Drop",DDP,Truck,2014-09-11,2015-06-02,2015-06-02,2015-06-02,2015-06-02,0,ARV,Adult,"PHARMACY DIRECT","Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,7,126.22,18.03,0.30,"Aurobindo Unit III, India",No,NULL,NULL,0.13
61715,107-RW-T30,FPQ-8741,SCMS-129500,ASN-15287,Rwanda,"PMO - US","Direct Drop",EXW,Air,2011-11-30,2012-03-14,2012-06-29,2012-06-29,2012-06-29,0,ARV,Pediatric,"CIPLA LIMITED","Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Abacavir,Generic,20mg/ml,"Oral solution",240,4192,35632.00,8.50,0.04,"Cipla, Goa, India",Yes,1514.000,6072.80,49.96
61720,109-TZ-T30,FPQ-13675,SCMS-225860,ASN-24983,Tanzania,"PMO - US","Direct Drop",EXW,Air,2014-02-03,2014-03-05,2014-05-24,2014-05-24,2014-05-26,0,HRDT,"HIV test","Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,NULL,"Test kit",100,350,28000.00,80.00,0.80,"Alere Medical Co., Ltd.",Yes,143.000,2508.46,28.78
61737,108-VN-T30,FPQ-14516,SCMS-249050,ASN-29376,Vietnam,"PMO - US","Direct Drop",EXW,Air,2014-07-09,2014-08-11,2014-12-17,2014-12-17,2014-12-17,0,ARV,Adult,"HETERO LABS LIMITED","Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs","Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate",Generic,600/300/300mg,"Tablet - FDC",30,11904,124992.00,10.50,0.35,"Hetero Unit III Hyderabad IN",No,NULL,NULL,128.49
61749,111-MZ-T30,FPQ-5443,SCMS-70770,ASN-7201,Mozambique,"PMO - US","Direct Drop",EXW,Air,2010-04-05,2010-04-21,2010-08-04,2010-08-04,2010-08-04,0,HRDT,"HIV test","Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,NULL,"Test kit",100,4131,320978.70,77.70,0.78,"Inverness Japan",Yes,937.000,11566.55,692.03
61754,110-ZM-T30,FPQ-8194,SCMS-118550,ASN-12428,Zambia,"PMO - US","Direct Drop",EXW,Air,2011-08-09,2011-08-18,2011-10-26,2011-10-26,2011-10-26,0,HRDT,"HIV test","Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,NULL,"Test kit",100,3200,256000.00,80.00,0.80,"Alere Medical Co., Ltd.",Yes,1526.000,27952.72,422.40
61779,111-MZ-T30,FPQ-13774,SCMS-229670,ASN-25566,Mozambique,"PMO - US","Direct Drop",EXW,Air,2014-02-21,2014-02-28,2014-05-02,2014-05-02,2014-05-02,0,HRDT,"HIV test - Ancillary","Orgenics, Ltd","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",Determine,NULL,"Test kit - Ancillary",1,229,1145.00,5.00,5.00,"Alere Medical Co., Ltd.",No,NULL,NULL,1.18
61783,109-TZ-T30,FPQ-12540,SCMS-198801,ASN-21504,Tanzania,"PMO - US","Direct Drop",EXW,Ocean,2013-07-03,2013-08-27,2013-10-23,2013-10-23,2013-10-23,0,ARV,Adult,"MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES)","Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs","Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate",Generic,600/200/300mg,"Tablet - FDC",30,65763,821379.87,12.49,0.42,"Mylan (formerly Matrix) Nashik",Yes,8182.000,7814.59,1016.05
61811,116-ZA-T30,FPQ-12522,SCMS-199289,ASN-28037,"South Africa","PMO - US","Direct Drop",DDP,Truck,2013-07-11,2014-08-29,2014-08-29,2014-08-29,2014-08-29,0,ARV,Adult,"S. BUYS WHOLESALER","Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs","Emtricitabine/Tenofovir Disoproxil Fumarate",Generic,200/300mg,"Tablet - FDC",30,228,7598.95,33.33,1.11,"Aurobindo Unit III, India",No,NULL,NULL,9.40
